name,price,description,image
Tom Ford Café Rose Eau De Parfum(30ml),₹7000,"A sensuous haze of pleasure. CAFe ROSE captures the untamed sensuality of a refined rose infused with the unexpected twist of dark coffee. CAFe ROSE captures the untamed sensuality of a refined rose infused with the unexpected twist of dark coffee. CAFe ROSE is housed in a semi-transparent pink bottle with a rose-pink cap and plaque. The luxe fragrance for women is available in 30mL, 50mL and 100mL editions.Essences of Turkish rose and dark coffee reveal sensual depth, while Rose Bulgaria and Ylang Ylang Comores exude sparkling floralcy. Coriander, patchouli and spicy cardamom simmer atop incense resin and sandalwood accords.Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Tom Ford products here.You can browse through the complete world of   Tom Ford Perfumes (EDT & EDP) .Expiry Date: 15 March 2026Country of Origin:   United States of America (the)Manufacturer:   The Estee Lauder Companies lnc.Address:   The Estee Lauder Companies Lnc., 767 Fifth Avenue, Ny 10153, U.S.A.","https://images-static.nykaa.com/media/catalog/product/c/a/ca90f59TOMAC00000510_1.jpg?tr=w-344,h-344,cm-pad_resize"
Bella Vita Luxury Perfumes Gift Set For Women(80ml),₹525,"       Bella Vita Luxury offers a curated Discovery set of our best-selling perfumes - For Her. A set of 4 miniatures, arousing your olfactive experience right from fruity, floral through to Oriental woody  and sweet Oud, for all moods. A compilation of CEO Woman, Glam, Rose & Honey Oud;  why compromise when you can have all 4, easy to pop in your handbag at all times!     CEO WOMAN      HONEY OUD      GLAM WOMAN      ROSE WOMAN        Top Notes Ylang-Ylang, Pink Pepper, Incense Bergamot Heart Notes Plum, Lily of the valley, Patchouli, Aqueous Base Notes Musk, Tonka, Vanilla, Vetiver     Top Notes Honey, Bergamot Heart Notes Oud, Sweet, Spicy, Rose, Patchouli Base Notes  Oud, Amber, Vanilla, Labdanum, Leather, Musk     Top Notes African Orange Heart Notes Jasmine Base Notes White Honey, Patchouli, Rose, Virginia Cedar     Top Notes Floral Peach, Blackcurrant, Mandarin, Pink Pepper Heart Notes Clary Sage, Lavender,  Leather, Pink Pepper Base Notes Patchouli      How To Use                     WHY CHOOSE US       Perfect for everyday use    Affordable & luxurious    Mild yet long-lasting   Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Bella Vita Organic products here.You can browse through the complete world of   Bella Vita Organic Perfumes (EDT & EDP) .Expiry Date: 15 January 2026Country of Origin:   IndiaManufacturer:   Idam Natural Wellness Pvt. Ltd.Address:   417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India","https://images-static.nykaa.com/media/catalog/product/a/c/ac85482BELAB00000048d_1.jpg?tr=w-344,h-344,cm-pad_resize"
Moi By Nykaa Mini Pocket Perfume - Joie De Vivre(16ml),₹199,"  Moi by Nykaa is a collection of fragrances that takes its name from the French word ‘moi’ translating to ‘me’. The collection is crafted as a fragrance wardrobe, to offer you a scent for every mood. These mini versions are easy to carry so you can now travel with your signature fragrances!FLEUR“Follow your floral bliss” Fleur is your go-to feel good fragrance. It opens with a heady blend of bergamot, tea and osmanthus that intermingle with a sweet bouquet of floral notes. After getting off to a sweet start, it settles into the cozy embrace of musk and patchouli to leave you feeling blissfully satisfied.EPICE“Live life with a little bit of spice” To bring a little spice into your life ‘Epice’ brings to life the pungent sweet aromas of Pink Peppercorn blended softly with fruity notes of Blackberry and Raspberry. With notes of Patchouli and Musk, the fragrance offers the perfect way to spice things up for the day, or night.Bisous“Scent of the first kiss” To remember the moments of sweet kisses, ‘Bisous’ is a playful blend of the spicy floral Bergamot with the classic Rose and Magnolia. This floral and citrus blend is the perfect way to start a feel-good day.Amour“Spark a love affair with yourself” The fragrance named after love, ‘Amour’, is to celebrate those moments when love blossoms. This floral bouquet hits you with crisp light notes of Jasmine and Lily of the valley that then settles into the warm woody embrace of Patchouli and Musk. The charm of the fragrance is the green fresh notes to top it off, like a freshly-picked bouquet of flowers.Matin“Sweet morning scent” ‘Matin’ or morning, in French is a fragrance that will brighten your day as it reveals its fresh and crisp notes of Magnolia and Rose. With a hint of Bergamot to excite and a woody tapering of Musk to soften, it’s the right accessory to have any day, everyday.Raison D'Etre“For days to conquer the world” Raison d'etre, the French phrase translating to 'reason for being' inspires a subtle, yet elegant fragrance to give you an air of calm domination. Here, a well-crafted potion of sensual Rose and Vanilla is tapered with Musk and Vetiver for a powerfully feminine feel.Joie De Vivre“To cherish the little” Joie de vivre is the French phrase that means 'joy of life'. This summer fragrance brings together the complexity of citrus with aromatic and fruity-woody notes making it super sensual even when worn on a hot summer day. Perfect for days to watch the world go by.Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Moi products here.You can browse through the complete world of   Moi Perfumes (EDT & EDP) .Expiry Date: 15 May 2025Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/3/4/3417f328904245710736_1a.jpg?tr=w-344,h-344,cm-pad_resize"
Ramsons You are lovely Eau De Perfume(30 ml),₹131,"            Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Ramsons products here.You can browse through the complete world of   Ramsons Perfumes (EDT & EDP) .Expiry Date: 15 May 2026Country of Origin:   IndiaManufacturer:   B R SONS & Jai Shree Balaji IndustriesAddress:   B R SONS, Plot No. B/8, Phase II, MIDC, Sagaon, Dombivli (E), Dist. Thane 421203 Maharashtra","https://images-static.nykaa.com/media/catalog/product/e/4/e457e8c8904173505381_1.jpg?tr=w-344,h-344,cm-pad_resize"
Bella Vita Organic Unisex Luxury Perfume Gift Set(80ml),₹520,"       The Unisex Perfume Gift Set by Bella Vita Luxury is a curated Discovery set of our best-selling perfumes For Him & Her. A set of 4 miniatures that arouses your olfactive experience, right from sweet floral through to Oriental woody and freshly rejuvenating aquatic notes. Try, love and gift perfumes by  Bella Vita Luxury, perfect for all moods. A compilation of CEO Man, Impact, Dominus & Oud Parfum; why compromise when you can have all 4, easy to carry with you at all times!      FRESH UNISEX      WHITE OUD      PATCHOULI PARFUM      SKAI AQUATIC        Top Notes Sweet Almond, Bergamot, Fresh Green Heart Notes Lavender, Orange Blossom, Orris Base Notes Ylang-Ylang     Top Notes Artemisia, Lemon, Orange Heart Notes Freesia, Black Currant, Patchouli Base Notes  Tobacco, Amber, Musk     Top Notes Patchouli, White Peach Heart Notes Patchouli Orris Base Notes Indonesian Patchouli Leaf, White Musk     Top Notes Bergamot, Coriander, Mandarin, Pineapple  Heart Notes Clary Sage, Lavender,  Leather, Pink Pepper Base Notes Patchouli      How To Use                     WHY CHOOSE US       Perfect for everyday use    Affordable & luxurious    Mild yet long-lasting   Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Bella Vita Organic products here.You can browse through the complete world of   Bella Vita Organic Perfumes (EDT & EDP) .Expiry Date: 15 June 2026Country of Origin:   IndiaManufacturer:   Idam Natural Wellness Pvt. Ltd.Address:   417, First Floor, Udyog Vihar Phase 3, Sector 20, Gurugram, 122008 Haryana, India","https://images-static.nykaa.com/media/catalog/product/a/c/ac85482BELAB00000246d_1.jpg?tr=w-344,h-344,cm-pad_resize"
Yves Saint Laurent Libre Eau De Parfum(10ml),₹1800,,"https://images-static.nykaa.com/media/catalog/product/5/a/5a234c0YVESS00000024ab_0.jpg?tr=w-344,h-344,cm-pad_resize"
Layer'r Wottagirl Vanilla Twist Fragrant Body Splash(135ml),₹191,"Stay fresh and scented for hours with Layer'r Wottagirl Body Spray, Vanilla Twist, which is a blend of warm vanilla notes and a hint of coconut. It is made up of a rich and seductive fragrance. Leaves you feel fresh and confident all throughout the day.Adds a bold and passionate look to your personality with its sensuous fragrance.Suitable for all skin types.Additional information:  Layer'r is one of India's fastest emerging brands of personal care and styling products. Layer'r Wottagirl is India's first clear body splash. Explore the entire range of  Body Mist/Spray available on Nykaa. Shop more  Layer'r products here.You can browse through the complete world of   Layer'r Body Mist/Spray .Expiry Date: 15 March 2026Country of Origin:   IndiaManufacturer:   SFP SONS (INDIA) PVT LTDAddress:   SR NO. 1105AB, 1106, UNIT 2, GAJERA, JAMBUSAR, VADODARA-390150","https://images-static.nykaa.com/media/catalog/product/4/2/42520a98906055790175_nwi1.jpg?tr=w-344,h-344,cm-pad_resize"
Bella Vita Luxury Perfumes Trial - Pack of 10(50 ml),₹349,"The ultimate perfume Trial Pack is here. Now, try best-selling perfumes from the comfort of your home only for Rs 349. A complete kit offering perfumes for men, women and unisex perfumes, try 10 of Bella Vita Organic's best perfumes, love your favourite fragrances and upgrade to the full-sized, 100 ml perfumes. So, try before you buy and indulge in the world of luxury perfumes, one mini at a time!As the Bella Vita Organic is in the process of upgrading their Trial Pack, some fragrances have been changed in the Trial Pack. Instead of Impact Man Eau De Parfum, try G.O.A.T Man Eau de Parfum. Try Klub Man Eau De Parfum instead of CEO Woman Eau De Parfum and Glam Woman Eau De Parfum instead of Honey Oud Parfum.The set contains: CEO Man Eau De Parfum (5ml): A daring and long-lasting perfume for the boss man. G.O.A.T Man Eau De Parfum (5ml): Be the greatest of all time, all the time.  Skai Aquatic Eau De Cologne (5ml): A unisex cologne that is both subtle and charming. Fresh Eau De Toilette (5ml): Get ready to take on the day with a burst of energy. Glam Woman Eau De Parfum (5ml): Turn up the glamour wherever you go. Oud Eau De Parfum (5ml): An ode to honouring eternal grace and power. White Oud Eau De Parfum (5ml): A beautiful blend of all things “sweet” and “spice.” Senorita Eau De Parfum (5ml): For a sensual and exciting start to your day. Date Woman Eau De Parfum (5ml): For days that celebrate love and romance. Klub Man Eau De Parfum (5ml): Attract all the attention, be it day or night.Features: Pack of 10 best-selling perfumes Mix of men, women, unisex perfumes Long-lasting perfumes IFRA-certified fragrances Made with imported oils from France, Spain and ItalyAbout the Brand: Nature inspired wellness at your doorstep! Bella Vita or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age-old beauty best practices. Each product at Bella Vita is created using the most qualitative and natural ingredients, state of the art craft and legacy driven expertise. Sourced directly from the lush green fields of Kerala and South East Asia, these products and services aim to bring unadulterated, customized beauty solutions to the new age consumer.Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Bella Vita Organic products here.You can browse through the complete world of   Bella Vita Organic Perfumes (EDT & EDP) .Expiry Date: 15 May 2026Country of Origin:   IndiaManufacturer:   IDAM Natural Wellness Pvt Ltd.Address:   Plot No. 417, Udyog Vihar, Phase-3, Gurugra, Haryana-122008","https://images-static.nykaa.com/media/catalog/product/7/7/77a3779BELAB00000345_01.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Love Struck Perfume - Stolen Glance(50ml),₹419,,"https://images-static.nykaa.com/media/catalog/product/2/3/23fff328904245715175_1a.jpg?tr=w-344,h-344,cm-pad_resize"
Renee Cosmetics Bloom Perfume(15ml),₹220,"Experience the floral fantasy.Imprint your prey with a floral ambush with RENEE Bloom Eau de Parfum. This blooming perfume is a unique combination of notes from tuberose, jasmine and sandalwood along with a spicy trail from vanilla, cocoa and tonka beans with a touch of almond. Do not underestimate the delicate elements of this fragrance for together they are celebration of floral extravagance which is hard to ignore and sensuously irresistible be it any day or season! Fragrance Notes: Top Note: Almond  Middle Notes: Tuberose, Sandalwood, Jasmine  Base Notes: Vanilla, Cocoa, Tonka Features: Long-lasting fragrance that captivates your senses Has lovely floral notes Exquisite fragrance that appeal to all agesAbout the Brand: Introducing Renee by Aashka Goradia, a brand that believes in empowering women to reinvent themselves; redefine how they desire to showcase their persona. Renee means reborn, emphasizing 'Natural is better'. The brand started with 3D handcrafted, cruelty-free lashes and applicators, extending to the Kohlistic Eye Range and now much more.Explore the entire range of  Perfumes (EDT & EDP) available on Nykaa. Shop more  Renee Cosmetics products here.You can browse through the complete world of   Renee Cosmetics Perfumes (EDT & EDP) .Expiry Date: 15 April 2026Country of Origin:   IndiaManufacturer:   Aroma De FranceAddress:   Aroma De France 324 Vill Ranu, Ta Padra, Dist Vadodara, Gujarat 391445 Mfg Lic No. M Gc/942","https://images-static.nykaa.com/media/catalog/product/8/d/8defdb4RENEE00000300_1.jpg?tr=w-344,h-344,cm-pad_resize"
