name,price,description,image
L'Oreal Paris Hyaluron Moisture 72H Hydrated Hair 3 - Step Routine Shampoo + Conditioner + Night Cream(3 pcs),₹1328,"  Explore the entire range of  Hair Combos available on Nykaa. Shop more  L'Oréal Paris products here.You can browse through the complete world of   L'Oréal Paris Hair Combos .Country of Origin:   IndiaManufacturer:   Loreal India Pvt LtdAddress:   Loreal India Pvt Ltd, Chakan, Pune - 410501Country of Origin:   IndiaManufacturer:   Pritam International Pvt. Ltd.Address:   Pritam International Pvt. Ltd. K. No. 138, Raipur Industrial Area, Roorkee, 247667, Uttarakhand.","https://images-static.nykaa.com/media/catalog/product/f/5/f507df0LOREA00000394_1.jpg?tr=w-344,h-344,cm-pad_resize"
Tresemme Keratin Shampoo + Serum + Mask Combo(3 pcs),₹1562,"Tresemme Keratin Shampoo + Serum + Mask Combo Contains: Explore the entire range of  Hair Combos available on Nykaa. Shop more  Tresemme products here.You can browse through the complete world of   Tresemme Hair Combos .Tresemme Keratin Smooth Anti-Frizz Hair Serum With Argan Oil: (MRP: 495.00/-) | Quantity: 1 | Expiry Date: 15 August 2024Keep frizz at bay and get salon smooth hair! Get professional-quality smoothness with Tresemme Keratin Smooth Anti-Frizz Hair Serum. Infused with argan oil, this formula instantly controls frizz and gives your hair vibrancy and shine. Based on lab tests, you'll have 2x smoother hair and longer-lasting frizz control for up to 48 hours, even in 80% humidity. This serum makes hair more manageable through frizz control, smoothing, and styling. It is infused with the goodness of oil and moisturizing actives that style and protect hair. It is a versatile product that acts as a primer by coating the hair surface before styling, so your hair is protected from any heat damage. It contains light oil, which makes your hair shine. Distilled pine oil is known to enhance natural smoothness and shine. Infused with argan oil, known to be rich in antioxidants, it gives hair vibrancy and shine, while castor oil is known to leave hair smooth and silky. Keratin Smooth Hair Serum is easy to apply and helps style hair better-twisting and turning into any style becomes easy. Pick the right amount of serum for the right hair type. This serum is ideal for medium-thick or curly hair.Features: Smoothing hair serum that conditions hair and helps control frizz  Enriched with the goodness of argan oil and castor oil Gives you up to 2x smoother hair Helps to control your frizz for up to 48 hours Makes hair smoother, shinier, and more manageable Ideal for medium-thick, curly hair  Suitable for all hair types About the Brand: From its origin in salons, TRESemmé has been driven by a simple truth: every woman deserves to look and feel fabulous, like they've just stepped out of the salon. TRESemme is dedicated to creating hair care and styling products that are salon quality without the salon price. Salon-inspired and tested products that help you create your own style and experience that salon feeling every day.Tresemme Keratin Smooth Deep Smoothing Mask: (MRP: 600.00/-) | Quantity: 1 | Expiry Date: 15 December 2024             Tresemme Keratin Smooth With Argan Oil Shampoo: (MRP: 1065.00/-) | Quantity: 1 | Expiry Date: 15 May 2025             Country of Origin:   IndiaCountry of Origin:   IndiaManufacturer:   HERBAL CONCEPTS  HEALTH CARE (P) LTDAddress:   Herbal Concepts Health Care (P) Ltd., Plot No. 2, Sec. 1 A, Iie (Sidcul), Ranipur, Haridwar 249 403, Uttarakhand. M 15/C/Ua/2004.Country of Origin:   PolandManufacturer:   Hindustan Unilever LimitedAddress:   Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400107","https://images-static.nykaa.com/media/catalog/product/e/e/eec6be08710908693809_1.jpg?tr=w-344,h-344,cm-pad_resize"
"L'Oreal Professionnel Absolut Repair Shampoo 300ml & Hair Mask 250gm Combo, Serie Expert",₹1499,"       Explore the entire range of  Hair Combos available on Nykaa. Shop more  L'Oréal Professionnel products here.You can browse through the complete world of   L'Oréal Professionnel Hair Combos .Country of Origin:   IndiaManufacturer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   LOreal ProfessionnelAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/8/c/8cbcd94NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize"
Matrix Opti Care Professional Ultra Smoothing 2-Step Regime - Shampoo 200ml + Conditioner 98g,₹670,"With today’s sleek styles, nothing puts a crimp in your look faster than frizzy hair! With hair that is not smooth straight, you live in fear of rain, humidity or even perspiration, which can cause your hair to become even fuller and wilder! Look no further as we bring you Matrix Opti.Care Smooth Straight! Enriched with Shea butter, it helps protect post-straightening treatments as well, condition, and moisturize for smooth straight hair.Explore the entire range of  Hair Combos available on Nykaa. Shop more  Matrix products here.You can browse through the complete world of   Matrix Hair Combos .Country of Origin:   IndiaManufacturer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Importer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.Packer:   MatrixAddress:   1. L’ORÉAL India Pvt. Ltd., Chakan, Pune - 410501. M. Lic. No.: M PD/C-44. 2. Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013.","https://images-static.nykaa.com/media/catalog/product/5/0/50a91e7NYMTXCOM00010_2507231.jpg?tr=w-344,h-344,cm-pad_resize"
Dove Intense Repair Shampoo + Hair Mask(2 PCs),₹1163,"Dove Intense Repair Shampoo + Hair Mask Contains: Explore the entire range of  Hair Combos available on Nykaa. Shop more  Dove products here.You can browse through the complete world of   Dove Hair Combos .Dove Intense Damage Repair Hair Mask for Dry & Rough Hair: (MRP: 525.00/-) | Quantity: 1 | Expiry Date: 15 June 2025     Dove Intense Repair Shampoo For Dry & Damaged Hair: (MRP: 1025.00/-) | Quantity: 1 | Expiry Date: 15 March 2025                  Country of Origin:   IndiaManufacturer:   Hindustan Unilever LimitedAddress:   Lbcp Unit Ii, Haridwar 249403, UttarakhandCountry of Origin:   India","https://images-static.nykaa.com/media/catalog/product/0/5/05408abDOVEX00000093_001.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Naturals Hair Growth Combo,₹599,"Nykaa Naturals Hair Growth Combo Contains:Explore the entire range of  Hair Combos available on Nykaa. Shop more  Nykaa Naturals products here.You can browse through the complete world of   Nykaa Naturals Hair Combos .Nykaa Naturals Onion & Fenugreek Hair Growth Paraben and Sulphate Free Shampoo: (MRP: 399.00/-) | Quantity: 1 | Expiry Date: 15 December 2024   Nykaa Naturals Hair is finally here to give your mane endless love with its nature-derived, multi-beneficial ingredients that are curated specially for Indian hair. So, get ready to glide through your day with ease! Onion & Fenugreek Shampoo  Promotes Hair Growth  Nykaa's Onion & Fenugreek Shampoo is a hair cleanser that promotes healthy growth and strengthens follicles, while moisturising your hair from root to tip. It provides an instant boost of nourishment, so get ready to flaunt longer and stronger hair!   Reasons To Love  NO NASTIES FORMULA  Your Hair Growth Routine Onion and Fenugreek  How To Use  More From The Nykaa Naturals Hair Range      Apple Cider Vinegar & Ginger   Anti-Dandruff        Amla & Curry Leaves   Anti-Hairfall      Reetha & Shikakai   Dull & Brittle Hair       Fermented Rice Water & Bamboo  Dry & Damaged Hair       Charcoal & Bamboo  Deep Detox & Cleanse    Ask Nykaa  COMPLETE YOUR HAIRCARE KIT                 Nykaa Naturals Onion & Fenugreek Hair Growth Paraben and Sulphate Free Conditioner: (MRP: 399.00/-) | Quantity: 1 | Expiry Date: 15 August 2024  Nykaa Naturals Hair is finally here to give your mane endless love with its nature-derived, multi-beneficial ingredients that are curated specially for Indian hair. So, get ready to glide through your day with ease! ONION & FENUGREEK Conditioner Promotes Hair Growth   Nykaa's Onion & Fenugreek Conditioner is formulated to promote healthy hair growth and strengthen follicles, while moisturising the lengths. It provides an instant boost of nourishment, so get ready to flaunt longer and stronger hair!   REASONS TO LOVE  NO NASTIES FORMULA  YOUR HAIR GROWTH ROUTINE Onion and Fenugreek  HOW TO USE  MORE FROM THE NYKAA NATURALS HAIR RANGE      Apple Cider Vinegar & Ginger   Anti-Dandruff        Amla & Curry Leaves   Anti-Hairfall      Reetha & Shikakai   Dull & Brittle Hair       Fermented Rice Water & Bamboo  Dry & Damaged Hair       Charcoal & Bamboo  Deep Detox & Cleanse    ASK NYKAA  COMPLETE YOUR HAIRCARE KIT                 Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/a/9/a9f45ccNYNYKBC001421_0.jpg?tr=w-344,h-344,cm-pad_resize"
Redken Damaged Hair Combo - Acidic Bonding Concentrate Shampoo & Conditioner,₹4050,"        Explore the entire range of  Hair Combos available on Nykaa. Shop more  Redken products here.You can browse through the complete world of   Redken Hair Combos .Country of Origin:   SpainManufacturer:   L’Oréal S.A.Address:   19) Esp - Productos Capilares L’Oreal S.A, Calle López Bravo, 78 - Polígono Industrial Villalonquéjar - 09001 Burgos, SpainImporter:   L’Oréal India Private LimitedAddress:   A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400015Packer:   L’Oréal India Private LimitedAddress:   A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400015Country of Origin:   SpainManufacturer:   L’Oréal S.A.Address:   19) Esp - Productos Capilares L’Oreal S.A, Calle López Bravo, 78 - Polígono Industrial Villalonquéjar - 09001 Burgos, SpainImporter:   L’Oréal India Private LimitedAddress:   A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400013Packer:   L’Oréal India Private LimitedAddress:   A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400013","https://images-static.nykaa.com/media/catalog/product/7/8/78361abREDKE00000022_1108231.jpg?tr=w-344,h-344,cm-pad_resize"
Nyveda Hair Growth Treatment Oil | Revive My Roots(100ml),₹902,"         A luxurious and non-sticky oil created using authentic recipes from ancient Ayurveda. It contains a potent blend of clinically proven Ayurvedic herbs that prevents hair fall, revitalises your scalp and promotes new hair growth. The Lavender & Herbal fragrance helps relieve stress and anxiety.   CRAFTED WITH 20 POTENT HERBS  Inspired by centuries old Ayurvedic recipes from Bhav Prakash Nigantu & Indian Ayurvedic texts, this powerful oil contains a curated collection of clinically proven active ingredients.              Nyveda is Rooted by Nature Our roots are our power. No matter where we go, they keep us rooted. Nyveda is a brand born from centuries-old Ayurvedic wisdom that delivers visible results.   Nyveda believes that Self Care Is Self Preservation We help you consciously commit to making self-care a guilt-free practice that nourishes your body, mind, & senses.   Nyveda is a life choice to live cleaner, calmer, and better.      For more information, visit our website: www.nyveda.com   Explore the entire range of  Hair Oil available on Nykaa. Shop more  NYVEDA products here.You can browse through the complete world of   NYVEDA Hair Oil .Expiry Date: 15 December 2024Country of Origin:   IndiaManufacturer:   Krauter Healthcare LimitedAddress:   Ground Floor, B-44, Sector 80, Noida, U.P 201305, India","https://images-static.nykaa.com/media/catalog/product/5/c/5c21328NYVED00000011_1b.jpg?tr=w-344,h-344,cm-pad_resize"
O3+ Damage Remedy Hair Spa Kit With Argan Oil Mask For Hair Fall Control(30g+30ml),₹335,"Who doesn't like to pamper yourself and get a stress-relieving massage? A hair spa is the best way to pamper yourself and get a perfect hair salon treatment at home. O3+ Damage Remedy Hair Spa Kit intensely nourishes your hair while detangling it. These anti-hair fall products are infused with fiber, moisture, and nutrients so that your hair feels rehydrated, soft, and shiny again. The salon performance formula helps in reducing hair fall while deeply nourishing hair scalp and follicles for revitalized tresses. It is formulated with argan oil that moisturizes your hair and scalp and protects your hair from everyday damage. While oatmeal is rich in lipids and proteins that moisturize your scalp to help prevent dandruff, its anti-inflammatory properties also reduce itchiness and prevent scalp irritation.Features: One solution: This kit has anti-breakage, anti-hair fall, strengthening, restorative, and repairing nature, which gives you all solutions to your multiple problems.  Softens hair: This kit has a unique hair mask that will deliver an immediately noticeable result, which will make your hair soft like a newborn baby's hair.  Nourishes the hair: It is the best for nourished, healthy and soft strands. This kit not only smoothens but also hydrates hair and provides them with moisture balance.About the Brand: O3+ is India's #1 Professional Skincare Brand with derma grade products and advanced skincare treatments backed by clinical studies and advanced research. Trusted by over 75,000 salons and millions of beauticians, O3+ is a leading Professional Beauty power house as well as a skin solutions retail brand. O3+ believes in sustainability and responsibility towards the environment. Every product is PETA certified and formulated without parabens and gluten.Explore the entire range of  Hair Kits available on Nykaa. Shop more  O3+ products here.You can browse through the complete world of   O3+ Hair Kits .Expiry Date: 15 January 2026Country of Origin:   IndiaManufacturer:   Visage Beauty And Healthcare Pvt LtdAddress:   Parwanoo Kasauli Rd, Sector-4, Parwanoo, Himachal Pradesh 173220","https://images-static.nykaa.com/media/catalog/product/c/e/cefd423O3XXX00000013.jpg?tr=w-344,h-344,cm-pad_resize"
Personal Touch Skincare Hair Up Cocktail Advanced Hair Growth Serum With Redensyl & Anagain(50ml),₹1799,"The Advanced Hair Growth Serum Hair Up Cocktail offers a comprehensive solution for achieving healthier and more vibrant hair. Its potent formula works wonders by strengthening hair roots, promoting robust and sustained hair growth. The serum also effectively controls frizz, leaving your hair smoother and easier to manage. Enriched with essential nutrients, it provides your hair with the nourishment it deserves, ensuring optimal health and vitality. Additionally, the serum works diligently to repair the scalp's moisture barrier, promoting a healthier scalp environment. As a result, scalp health is enhanced, and hair growth is further supported. Furthermore, the serum's detangling properties make hair more manageable and easier to style, adding to the overall convenience and benefits of this exceptional hair care product.Features: It prevents hair fall and promotes hair re-growth by creates the bonds between the roots and strethens the hair follicles which gives permanent long lasting results. Helps Improving the Hair Texture/ VolumeProvides adequate nourishmentMakes hair dense and healthyAbout the Brand: Personal Touch Skincare as a brand is dedicated to enhance your personal beauty with utmost research, fashion sense and hands on experience. We feel Glowing skin is a big moment in itself now. It’s all about real, fresh, naturally hydrated and deep delicious skin. The Goal of the brand was to create luxurious but accessible skincare, you can afford to use daily and products that follow you through life.Explore the entire range of  Hair Serum available on Nykaa. Shop more  Personal Touch Skincare products here.You can browse through the complete world of   Personal Touch Skincare Hair Serum .Expiry Date: 15 July 2025Country of Origin:   IndiaManufacturer:   Lifevision HealthcareAddress:   Plot No. 11-12, Dainik Bhaskar Building, Sector 25-D, Chandigarh, 160022Packer:   Lifevision HealthcareAddress:   Plot No. 11-12, Dainik Bhaskar Building, Sector 25-D, Chandigarh, 160022","https://images-static.nykaa.com/media/catalog/product/4/2/420e4b88904398903061_1.jpg?tr=w-344,h-344,cm-pad_resize"
