name,price,description,image
Lakme Absolute Instant Airbrush Concealer Pen - Ivory(1.8 g),₹629,"                                              Explore the entire range of  Concealer available on Nykaa. Shop more  Lakme products here.You can browse through the complete world of   Lakme Concealer .Expiry Date: 15 May 2026Country of Origin:   IndiaManufacturer:   Regi India Cosmetics Pvt LtdAddress:   Regi India Cosmetics Pvt Ltd, Plot No.09, Sector-05, Iie,Sidcul,Haridwar-249 403,Uttarakhand.","https://images-static.nykaa.com/media/catalog/product/2/0/203fa4429730_H-8901030973574.jpg?tr=w-344,h-344,cm-pad_resize"
Kay Beauty Lip Tint - Juicy(3.5ml),₹899,"         Give your lips a juicy pop of color with the Kay Beauty Lip Tints. These lightweight tints feature a fluid texture that applies seamlessly in one cooling stroke. The result? A slick wash of colour that’s high on shine and is longwearing, ultimately settling into a super pigmented lip stain. Never sticky and easy to layer, the tints feel hydrating and comfortable for longwear. Take your pick from 8 poppy shades, ranging from coral nude to hot pink and deep plum, that look flattering on all skin tones.  Why Make It Yours?  Glossy Shine Finish Long-Lasting Stain Precision Heart Wand Watery Light Texture                 Expiry Date: 15 August 2026Country of Origin:   IndiaManufacturer:   FSN E-commerce Ventures Pvt LtdAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/f/f/ff2ddffKAYBE00000225_1.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa All Day Matte Limited Edition Liquid Lipstick - Barfi(2.1ml),₹391,"   Document          Looking for a festive lipstick that won’t smudge or budge? Nykaa All Day Matte Liquid Lipstick range is back with a Limited Edition festive drop that offers four stunning shades with intense colour payoff and long lasting stay. No more constant touch-ups between meals, parties and selfies, one swipe is all it takes to get glam lips that stays and slays.                   Explore the entire range of  Liquid Lipstick available on Nykaa. Shop more  Nykaa Cosmetics products here.You can browse through the complete world of   Nykaa Cosmetics Liquid Lipstick .Expiry Date: 15 August 2026Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/2/3/237ae21NYKAC00001814_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York The Colossal Mascara Waterproof - 001 Waterproof Black(10ml),₹293,  Explore the entire range of  Mascara available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Mascara .Expiry Date: 15 July 2025Country of Origin:   ItalyManufacturer:   LAddress:   L,"https://images-static.nykaa.com/media/catalog/product/e/8/e8524d000300792360_1.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa So Creme! Creamy Matte Lipstick - Break a Leg(4.2gm),₹197," Wakeup MakeupLight Pink Tone NudeGame OnPink Tone NudeGame OnPink Tone NudeYou're LatteNeutral Tone NudeBreak a LegPink Tone NudeBreak a LegPink Tone NudeTraffic Jammin'Pinkish MauveLet it SnoozeBrown Tone NudeLet it SnoozeBrown Tone NudeDeja NudeWarm Deep NudeDay DreamingDusty RoseWalk The WalkDeep PinkWalk The WalkDeep PinkPep TalkBright PinkBon Appetit BabyBright RedDressed To KillPink Tone RedDressed To KillPink Tone RedLike a BossBrick RedOn FireClassic RedOn FireClassic RedNailed itWineGossip DoseMaroonGossip DoseMaroonTGIFPinkish PlumIt's a DateDeep PlumIt's a DateDeep PlumExplore the entire range of  Lipstick available on Nykaa. Shop more  Nykaa Cosmetics products here.You can browse through the complete world of   Nykaa Cosmetics Lipstick .Expiry Date: 15 November 2025Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/5/5/555cfc48904245710941_1.jpg?tr=w-344,h-344,cm-pad_resize"
Insight Non Transfer Lip Color - 27 Top Notch(4ml),₹100,,"https://images-static.nykaa.com/media/catalog/product/0/5/05e1cb54286444_2.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Superstay Vinyl Ink Liquid Lipstick - Lippy(4.2ML),₹635,"  Explore the entire range of  Liquid Lipstick available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Liquid Lipstick .Expiry Date: 15 March 2026Country of Origin:   ChinaManufacturer:   Yichang Tianmi International Cosmetics Co.Address:   Yichang Tianmi International Cosmetics Co.,44300, No.18 Xihu Road, Xiling Economic Developing Zone, China","https://images-static.nykaa.com/media/catalog/product/5/6/56e65cdMAYBE00000403_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Super Stay Matte Ink Liquid Lipstick - 15 Lover(5ml),₹455,  Explore the entire range of  Liquid Lipstick available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Liquid Lipstick .Expiry Date: 15 August 2025Country of Origin:   China,"https://images-static.nykaa.com/media/catalog/product/a/2/a2055cd41554496918_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Hyper Curl Mascara - Waterproof Very Black(9.2ml),₹300,"                    Explore the entire range of  Mascara available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Mascara .Expiry Date: 15 July 2025Country of Origin:   ChinaAddress:   Yichang Tianmei International Cosmetics, Xihu road, Xi Ling Economic & Technology Development Zone No.18, 443000 Yichang, Hubei, China","https://images-static.nykaa.com/media/catalog/product/e/8/e8524d069234925842060_1.jpg?tr=w-344,h-344,cm-pad_resize"
Maybelline New York Fit Me Matte+Poreless Liquid Foundation 16H Oil Control - 128 Warm Nude(30ml),₹415,"  Explore the entire range of  Foundation available on Nykaa. Shop more  Maybelline New York products here.You can browse through the complete world of   Maybelline New York Foundation .Expiry Date: 15 October 2025Country of Origin:   ChinaManufacturer:   Yichang Tianmi International Cosmetics Co., Ltd.Address:   Yichang Tianmi International Cosmetics Co., Ltd., 443000, No. 18 Xihu Road, Xiling Economic Developing Zone, Yichang, China","https://images-static.nykaa.com/media/catalog/product/5/3/536b7076902395718338_1.jpg?tr=w-344,h-344,cm-pad_resize"
