name,price,description,image
The Ordinary Vitamin C Suspension 23% + HA Spheres 2%(30ml),₹700,,"https://images-static.nykaa.com/media/catalog/product/2/f/2f0a765769915196061_1.jpg?tr=w-344,h-344,cm-pad_resize"
Dot & Key Strawberry Dew SPF 50 Sunscreen Stick On-The-Go(20 g),₹565,,"https://images-static.nykaa.com/media/catalog/product/e/a/eaa546eDOTKE00000296_1GH.jpg?tr=w-344,h-344,cm-pad_resize"
Lotus Professional Phyto-Rx Whitening & Brightening Creme SPF 25 PA+++(50gm),₹465,,"https://images-static.nykaa.com/media/catalog/product/w/_/w_b_day_creme.jpg?tr=w-344,h-344,cm-pad_resize"
L'Oreal Paris Revitalift Hydrating Serum With 1.5 % Hyaluronic Acid(30ml),₹649,"                     Explore the entire range of  Serums & Essence available on Nykaa. Shop more  L'Oréal Paris products here.You can browse through the complete world of   L'Oréal Paris Serums & Essence .Expiry Date: 15 February 2026Country of Origin:   ChinaManufacturer:   L'Oreal IndiaAddress:   Beautycos International Co.,Ltd., 22 Zi Teng Street, Jin Ji Hu Road, Sip Suzhou P.R. China 215021.","https://images-static.nykaa.com/media/catalog/product/f/5/f59482cLOREA00000002_1.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa SKINRX 10% Vitamin C with 5% Niacinamide Illuminate + Brightening Boost Face Serum(30ml),₹559,"   Nykaa SKINRX 10% Vitamin C Serum With 5% Niacinamide Key Ingredients Real Visible Results    PICK THE RIGHT SKINRX SERUM FOR YOUR SKIN CONCERN   Ask Nykaa SKINRX ABOUT NYKAA SKINRXNykaa SKINRX is a gender-neutral skincare brand that harnesses the power of science to effectively treat the most common Indian skin concerns. Our formulations contain clinically proven ingredients, in appropriate concentrations, to help you achieve your best skin yet.The SKINRX PROMISEExplore the entire range of  Serums & Essence available on Nykaa. Shop more  Nykaa SKINRX products here.You can browse through the complete world of   Nykaa SKINRX Serums & Essence .Expiry Date: 15 November 2024Country of Origin:   IndiaManufacturer:   FSN E-Commerce Ventures LimitedAddress:   104 Vasan Udyog Bhavan Sun Mill Compound Senapati Bapat Marg, Lower Parel, Mumbai City Maharashtra - 400013","https://images-static.nykaa.com/media/catalog/product/1/8/18d33a4NYKAB00000785_1509231.jpg?tr=w-344,h-344,cm-pad_resize"
"Cetaphil Brightening Night Cream with Niacinamide reduces Dark spots, Dermatologist Tested(50gm)",₹932,"Explore the entire range of  Night Cream available on Nykaa. Shop more  Cetaphil products here.You can browse through the complete world of   Cetaphil Night Cream .Expiry Date: 15 December 2025Country of Origin:   South KoreaManufacturer:   M/s Cosmecca Korea CoAddress:   M/s Cosmecca Korea Co.,Ltd. 17-12, Daegum -ro 196 Beon-gil, Daeso Myeon, Eumseong-gun, Chungcheongbuk-do, Korea","https://images-static.nykaa.com/media/catalog/product/1/8/18d33a4CETAP00000004_1509231.jpg?tr=w-344,h-344,cm-pad_resize"
Simple Water Boost Hydrating Gel Creme 100 HR Hydration(50 g),₹349,,"https://images-static.nykaa.com/media/catalog/product/e/1/e1f2441SIMPL00000078_1A.jpg?tr=w-344,h-344,cm-pad_resize"
Nykaa Naturals Skin Secrets Bestseller Sheet Mask - Monthly Pack(5 pcs),₹350,"Nykaa Skin Secrets Bestseller Sheet Mask Combo - Monthly Pack (5 Sheet Masks) Contains: Explore the entire range of  Sheet Masks available on Nykaa. Shop more  Nykaa Naturals products here.You can browse through the complete world of   Nykaa Naturals Sheet Masks .Nykaa Skin Secrets Indian Rituals Lemon + Honey Sheet Mask For Glowing & Clear Skin: (MRP: 100.00/-) | Quantity: 1 | Expiry Date: 15 August 2025 Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Nykaa Skin Secrets Exotic Indulgence Strawberry + Argan Oil Sheet Mask For Blemish - Free Skin: (MRP: 100.00/-) | Quantity: 1 | Expiry Date: 15 June 2024 Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Nykaa Skin Secrets Exotic Indulgence Black Mud + Aloe Vera Sheet Mask For Purified & Hydrated Skin: (MRP: 100.00/-) | Quantity: 1 | Expiry Date: 15 January 2025 Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Nykaa Skin Secrets Active Solutions Pearl + Hyaluronic Acid Sheet Mask For Glowing Skin: (MRP: 100.00/-) | Quantity: 1 | Expiry Date: 15 October 2024 Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Nykaa Skin Secrets Exotic Indulgence Gold Sheet Mask For Revitalized & Youthful Skin: (MRP: 100.00/-) | Quantity: 1 | Expiry Date: 15 August 2025 Introducing Nykaa Skin Secrets Sheet Masks, where touted beauty secrets from the soils of India meet the cutting-edge technology of Korea. Carefully chosen, we bring you 29 variants that are crafted with an eco-friendly Lyocell fabric that provides a smooth feel and cotton like comfort. Infused with serum, these sheets give you a major boost of hydration and are specifically made to target all your skin concerns.HOW TO USESNAILGOLDBESAN + TURMERICSAFFRON + HONEYCUCUMBER + ALOE VERANEEM + TURMERICTULSI + YOGURTSANDALWOOD + ORANGE PEELPEARL + HYALURONIC ACIDSTRAWBERRY + ARGAN OILLEMON + HONEYTEA TREE + ALOE VERABLACK MUD + ALOE VERARICE WATER + WHITE TEAGREEN TEA + ALOE VERAHONEY + LAVENDERCOLLAGEN + GRAPEFRUITROSE + GOAT MILKGOOSEBERRY + PAPAYACHARCOAL + BAMBOOACAI BERRY + POMEGRANATEALMOND + YOGURTGINSENG + APRICOATLOTUS FLOWER + TIGER LILYAVOCADO + MORINGATURMERIC + COCONUTRICE + CAMELLIAMATCHA TEA + CAMOMILEPEPTIDES + GOJI BERRYCOMPLETE YOUR SKINCARE ROUTINE         Country of Origin:   South KoreaManufacturer:   FSN Brands Marketing Pvt. Ltd.Address:   A-1, 135 Shah & Nahar Ind. Estate, Sitaram Jadhav Marg, Lower Parel (W), Mumbai - 400013. Importer:   FSN Brands Marketing Pvt. Ltd.Address:   A-1, 135 Shah & Nahar Ind. Estate, Sitaram Jadhav Marg, Lower Parel (W), Mumbai - 400013.","https://images-static.nykaa.com/media/catalog/product/5/b/5b7a2eb890424570485_1.jpg?tr=w-344,h-344,cm-pad_resize"
Ponds Serum Boost Sunscreen Gel SPF 50(100 g),₹384,"     Explore the entire range of  Face Sunscreen available on Nykaa. Shop more  Ponds products here.You can browse through the complete world of   Ponds Face Sunscreen .Expiry Date: 15 January 2025Country of Origin:   IndiaManufacturer:   Hindustan Unilever LimitedAddress:   L.B.C.P., Iie,Sidcul,Haridwar,Unit-1,Pin-249403, Uttarkhand","https://images-static.nykaa.com/media/catalog/product/c/1/c1f434727728_S1_8901030945120.jpg?tr=w-344,h-344,cm-pad_resize"
Himalaya Purifying Neem Face Wash(400 ml),₹306,,"https://images-static.nykaa.com/media/catalog/product/5/1/5141d108901138844172_1.jpg?tr=w-344,h-344,cm-pad_resize"
